common_name,scientific_name,species_code,region
El Oro Parakeet ,Pyrrhura orcesi,elopar1,Ecuador endemics
Black-breasted Puffleg ,Eriocnemis nigrivestis,blbpuf3,Ecuador endemics
Violet-throated Metaltail ,Metallura baroni,vitmet1,Ecuador endemics
Esmeraldas Woodstar,Chaetocercus berlepschi,esmwoo2,Ecuador endemics
Ecuadorian Tapaculo ,Scytalopus robinsonii,ecutap1,Ecuador endemics
Pale-headed Brush-Finch ,Atlapetes pallidiceps,phbfin1,Ecuador endemics
Blue-throated Hillstar,Oreotrochilus cyanolaemus,buthil1,Ecuador endemics
Violet-throated Metaltail ,Metallura baroni,vitmet1,Central Andean páramo
Neblina Metaltail ,Metallura odomae,nebmet1,Central Andean páramo
Black-breasted Puffleg ,Eriocnemis nigrivestis,blbpuf3,Central Andean páramo
Carunculated Caracara ,Daptrius carunculatus,carcar1,Central Andean páramo
Rufous-fronted Parakeet ,Bolborhynchus ferrugineifrons,rufpar1,Central Andean páramo
Stout-billed Cinclodes ,Cinclodes excelsior,stbcin1,Central Andean páramo
Mouse-colored Thistletail ,Asthenes griseomurina,mocthi1,Central Andean páramo
Chestnut-bellied Cotinga ,Doliornis remseni,chbcot1,Central Andean páramo
Masked Mountain-tanager ,Tephrophilus wetmorei,mamtan1,Central Andean páramo
Stolzmann's Tanager ,Urothraupis stolzmanni,bbbtan1,Central Andean páramo
Green-bearded Helmetcrest,Oxypogon guerinii,gnbhel1,Central Andean páramo
,,,
,,,
Bearded Guan ,Penelope barbata,beagua1,Southern Central Andes
Purple-throated Sunangel ,Heliangelus viola,putsun1,Southern Central Andes
Rainbow Starfrontlet ,Coeligena iris,raista1,Southern Central Andes
Red-faced Parrot ,Hapalopsittaca pyrrhops,refpar2,Southern Central Andes
Giant Antpitta ,Grallaria gigantea,giaant1,Southern Central Andes
Crescent-faced Antpitta ,Grallaricula lineifrons,crfant1,Southern Central Andes
Orange-banded Flycatcher ,Nephelomyias lintoni,orbfly1,Southern Central Andes
White-rimmed Brush-finch ,Atlapetes leucopis,wrbfin1,Southern Central Andes
