Amaurospiza aequatorialis
Chlorophonia flavirostris
Oreothraupis arremonops
Bangsia flavovirens
Chlorospingus semifuscus
Chlorothraupis stolzmanni
Bangsia edwardsi
Anisognathus notabilis
Iridosornis porphyrocephalus
Poecilostreptus palmeri
Ixothraupis rufigula
Chlorochrysa phoenicotis
Chrysothlypis salmoni
Diglossa indigotica
Entomodestes coracinus
Vireo masteri
Cyanolyca pulchra
Machaeropterus deliciosus
Pipreola jucunda
Zimmerius albigularis
Scytalopus chocoensis
Scytalopus vicinior
Grallaria flavotincta
Sipia nigricauda
Thripadectes ignobilis
Pseudocolaptes johnsoni
Margarornis stellatus
Andigena laminirostris
Semnornis ramphastinus
Aglaiocercus coelestis
Haplophaedia lugens
Heliangelus strophianus
Boissonneaua jardini
Coeligena wilsoni
Heliodoxa imperatrix
Urosticte benjamini
Chlorostilbon melanorhynchus
Glaucidium nubicola
